Tabelloon,Jonger dan de AOW-leeftijd,,,AOW-leeftijd en ouder,,,,,
" 2,538.00 ", 940.83 , 404.25 , 341.58 , 486.50 , 65.00 , 176.75 , 486.50 , 65.00 , 176.75 
" 2,542.50 ", 942.50 , 406.17 , 341.67 , 487.33 , 66.00 , 176.75 , 487.33 , 66.00 , 176.75 
" 2,547.00 ", 944.17 , 407.92 , 341.83 , 488.25 , 67.00 , 176.83 , 488.25 , 67.00 , 176.83 
" 2,551.50 ", 945.83 , 409.75 , 341.92 , 489.08 , 67.83 , 176.92 , 489.08 , 67.83 , 176.92 
" 2,556.00 ", 947.50 , 411.50 , 342.08 , 489.92 , 68.75 , 177.00 , 489.92 , 68.75 , 177.00 
" 2,560.50 ", 949.17 , 413.42 , 342.17 , 490.83 , 69.83 , 177.00 , 490.83 , 69.83 , 177.00 
" 2,565.00 ", 950.83 , 415.25 , 342.25 , 491.67 , 70.67 , 177.08 , 491.67 , 70.67 , 177.08 
" 2,569.50 ", 952.50 , 417.00 , 342.42 , 492.50 , 71.58 , 177.17 , 492.50 , 71.58 , 177.17 
" 2,574.00 ", 954.17 , 418.83 , 342.50 , 493.42 , 72.58 , 177.25 , 493.42 , 72.58 , 177.25 
" 2,578.50 ", 955.83 , 420.67 , 342.67 , 494.25 , 73.50 , 177.25 , 494.25 , 73.50 , 177.25 
" 2,583.00 ", 957.50 , 422.50 , 342.75 , 495.08 , 74.42 , 177.33 , 495.08 , 74.42 , 177.33 
" 2,587.50 ", 959.17 , 424.33 , 342.83 , 496.00 , 75.42 , 177.42 , 496.00 , 75.42 , 177.42 
" 2,592.00 ", 960.83 , 426.08 , 343.00 , 496.83 , 76.25 , 177.50 , 496.83 , 76.25 , 177.50 
" 2,596.50 ", 962.50 , 428.00 , 343.08 , 497.67 , 77.25 , 177.50 , 497.67 , 77.25 , 177.50 
" 2,601.00 ", 964.17 , 429.75 , 343.25 , 498.58 , 78.25 , 177.58 , 498.58 , 78.25 , 177.58 
" 2,605.50 ", 965.83 , 431.58 , 343.33 , 499.42 , 79.17 , 177.67 , 499.42 , 79.17 , 177.67 
" 2,610.00 ", 967.50 , 433.42 , 343.42 , 500.33 , 80.17 , 177.67 , 500.33 , 80.17 , 177.67 
" 2,614.50 ", 969.17 , 435.25 , 343.58 , 501.17 , 81.08 , 177.75 , 501.17 , 81.08 , 177.75 
" 2,619.00 ", 970.83 , 437.08 , 343.67 , 502.00 , 82.00 , 177.83 , 502.00 , 82.00 , 177.83 
" 2,623.50 ", 972.50 , 438.83 , 343.83 , 502.92 , 82.92 , 177.92 , 502.92 , 82.92 , 177.92 
" 2,628.00 ", 974.17 , 440.67 , 343.92 , 503.75 , 83.92 , 177.92 , 503.75 , 83.92 , 177.92 
" 2,632.50 ", 975.83 , 442.50 , 344.08 , 504.58 , 84.83 , 178.00 , 504.58 , 84.83 , 178.00 
" 2,637.00 ", 977.50 , 444.33 , 344.17 , 505.50 , 85.75 , 178.08 , 505.50 , 85.75 , 178.08 
" 2,641.50 ", 979.17 , 446.17 , 344.25 , 506.33 , 86.67 , 178.17 , 506.33 , 86.67 , 178.17 
" 2,646.00 ", 980.83 , 447.92 , 344.42 , 507.17 , 87.67 , 178.17 , 507.17 , 87.67 , 178.17 
" 2,650.50 ", 982.50 , 449.83 , 344.50 , 508.08 , 88.58 , 178.25 , 508.08 , 88.58 , 178.25 
" 2,655.00 ", 984.17 , 451.58 , 344.67 , 508.92 , 89.50 , 178.33 , 508.92 , 89.50 , 178.33 
" 2,659.50 ", 985.83 , 453.42 , 344.75 , 509.75 , 90.50 , 178.33 , 509.75 , 90.50 , 178.33 
" 2,664.00 ", 987.50 , 455.25 , 344.83 , 510.67 , 91.42 , 178.42 , 510.67 , 91.42 , 178.42 
" 2,668.50 ", 989.17 , 457.08 , 345.00 , 511.50 , 92.33 , 178.50 , 511.50 , 92.33 , 178.50 
" 2,673.00 ", 990.83 , 458.92 , 345.08 , 512.33 , 93.25 , 178.58 , 512.33 , 93.25 , 178.58 
" 2,677.50 ", 992.50 , 460.67 , 345.25 , 513.25 , 94.25 , 178.58 , 513.25 , 94.25 , 178.58 
" 2,682.00 ", 994.17 , 462.50 , 345.33 , 514.08 , 95.17 , 178.67 , 514.08 , 95.17 , 178.67 
" 2,686.50 ", 995.83 , 464.42 , 345.42 , 515.00 , 96.17 , 178.75 , 515.00 , 96.17 , 178.75 
" 2,691.00 ", 997.50 , 466.17 , 345.58 , 515.83 , 97.00 , 178.83 , 515.83 , 97.00 , 178.83 
" 2,695.50 ", 999.17 , 468.00 , 345.67 , 516.67 , 98.00 , 178.83 , 516.67 , 98.00 , 178.83 
" 2,700.00 "," 1,000.83 ", 469.75 , 345.83 , 517.58 , 99.00 , 178.92 , 517.58 , 99.00 , 178.92 
" 2,704.50 "," 1,002.50 ", 471.58 , 345.92 , 518.42 , 99.83 , 179.00 , 518.42 , 99.83 , 179.00 
" 2,709.00 "," 1,004.17 ", 473.50 , 346.00 , 519.25 , 100.83 , 179.00 , 519.25 , 100.83 , 179.00 
" 2,713.50 "," 1,005.83 ", 475.25 , 346.17 , 520.17 , 101.83 , 179.08 , 520.17 , 101.83 , 179.08 
" 2,718.00 "," 1,007.50 ", 477.08 , 346.25 , 521.00 , 102.67 , 179.17 , 521.00 , 102.67 , 179.17 
" 2,722.50 "," 1,009.17 ", 478.83 , 346.42 , 521.83 , 103.58 , 179.25 , 521.83 , 103.58 , 179.25 
" 2,727.00 "," 1,010.83 ", 480.75 , 346.50 , 522.75 , 104.67 , 179.25 , 522.75 , 104.67 , 179.25 
" 2,731.50 "," 1,012.50 ", 482.50 , 346.67 , 523.58 , 105.50 , 179.33 , 523.58 , 105.50 , 179.33 
" 2,736.00 "," 1,014.17 ", 484.33 , 346.75 , 524.42 , 106.42 , 179.42 , 524.42 , 106.42 , 179.42 
" 2,740.50 "," 1,015.83 ", 486.17 , 346.83 , 525.33 , 107.42 , 179.50 , 525.33 , 107.42 , 179.50 
" 2,745.00 "," 1,017.50 ", 488.00 , 347.00 , 526.17 , 108.42 , 179.50 , 526.17 , 108.42 , 179.50 
" 2,749.50 "," 1,019.17 ", 489.83 , 347.08 , 527.00 , 109.25 , 179.58 , 527.00 , 109.25 , 179.58 
" 2,754.00 "," 1,020.83 ", 491.58 , 347.25 , 527.92 , 110.25 , 179.67 , 527.92 , 110.25 , 179.67 
" 2,758.50 "," 1,022.50 ", 493.42 , 347.33 , 528.75 , 111.25 , 179.67 , 528.75 , 111.25 , 179.67 
" 2,763.00 "," 1,024.17 ", 495.33 , 347.42 , 529.67 , 112.17 , 179.75 , 529.67 , 112.17 , 179.75 
" 2,767.50 "," 1,025.83 ", 497.08 , 347.58 , 530.50 , 113.08 , 179.83 , 530.50 , 113.08 , 179.83 
" 2,772.00 "," 1,027.50 ", 498.92 , 347.67 , 531.33 , 114.00 , 179.92 , 531.33 , 114.00 , 179.92 
" 2,776.50 "," 1,029.17 ", 500.67 , 347.83 , 532.25 , 115.00 , 179.92 , 532.25 , 115.00 , 179.92 
" 2,781.00 "," 1,030.92 ", 502.67 , 347.92 , 533.08 , 115.92 , 180.00 , 533.08 , 115.92 , 180.00 
" 2,785.50 "," 1,032.58 ", 504.50 , 348.00 , 533.92 , 116.83 , 180.08 , 533.92 , 116.83 , 180.08 
" 2,790.00 "," 1,034.25 ", 506.25 , 348.17 , 534.83 , 117.75 , 180.17 , 534.83 , 117.75 , 180.17 
" 2,794.50 "," 1,035.92 ", 508.08 , 348.25 , 535.67 , 118.75 , 180.17 , 535.67 , 118.75 , 180.17 
" 2,799.00 "," 1,037.58 ", 509.92 , 348.42 , 536.50 , 119.67 , 180.25 , 536.50 , 119.67 , 180.25 
" 2,803.50 "," 1,039.25 ", 511.75 , 348.50 , 537.42 , 120.58 , 180.33 , 537.42 , 120.58 , 180.33 
" 2,808.00 "," 1,040.92 ", 513.58 , 348.58 , 538.25 , 121.58 , 180.33 , 538.25 , 121.58 , 180.33 
" 2,812.50 "," 1,042.58 ", 515.33 , 348.75 , 539.08 , 122.50 , 180.42 , 539.08 , 122.50 , 180.42 
" 2,817.00 "," 1,044.25 ", 517.25 , 348.83 , 540.00 , 123.42 , 180.50 , 540.00 , 123.42 , 180.50 
" 2,821.50 "," 1,045.92 ", 519.00 , 349.00 , 540.83 , 124.33 , 180.58 , 540.83 , 124.33 , 180.58 
" 2,826.00 "," 1,047.58 ", 520.83 , 349.08 , 541.67 , 125.33 , 180.58 , 541.67 , 125.33 , 180.58 
" 2,830.50 "," 1,049.25 ", 522.58 , 349.25 , 542.58 , 126.25 , 180.67 , 542.58 , 126.25 , 180.67 
" 2,835.00 "," 1,050.92 ", 524.50 , 349.33 , 543.42 , 127.17 , 180.75 , 543.42 , 127.17 , 180.75 
" 2,839.50 "," 1,052.58 ", 526.33 , 349.42 , 544.25 , 128.08 , 180.83 , 544.25 , 128.08 , 180.83 
" 2,844.00 "," 1,054.25 ", 528.08 , 349.58 , 545.17 , 129.08 , 180.83 , 545.17 , 129.08 , 180.83 
" 2,848.50 "," 1,055.92 ", 529.92 , 349.67 , 546.00 , 130.00 , 180.92 , 546.00 , 130.00 , 180.92 
" 2,853.00 "," 1,057.58 ", 531.75 , 349.83 , 546.92 , 131.00 , 181.00 , 546.92 , 131.00 , 181.00 
" 2,857.50 "," 1,059.25 ", 533.58 , 349.92 , 547.75 , 131.92 , 181.00 , 547.75 , 131.92 , 181.00 
" 2,862.00 "," 1,060.92 ", 535.42 , 350.00 , 548.58 , 132.83 , 181.08 , 548.58 , 132.83 , 181.08 
" 2,866.50 "," 1,062.58 ", 537.17 , 350.17 , 549.50 , 133.83 , 181.17 , 549.50 , 133.83 , 181.17 
" 2,871.00 "," 1,064.25 ", 539.08 , 350.25 , 550.33 , 134.67 , 181.25 , 550.33 , 134.67 , 181.25 
" 2,875.50 "," 1,065.92 ", 540.83 , 350.42 , 551.17 , 135.67 , 181.25 , 551.17 , 135.67 , 181.25 
" 2,880.00 "," 1,067.58 ", 542.67 , 350.50 , 552.08 , 136.67 , 181.33 , 552.08 , 136.67 , 181.33 
" 2,884.50 "," 1,069.25 ", 544.50 , 350.58 , 552.92 , 137.58 , 181.42 , 552.92 , 137.58 , 181.42 
" 2,889.00 "," 1,070.92 ", 546.25 , 350.75 , 553.75 , 138.42 , 181.50 , 553.75 , 138.42 , 181.50 
" 2,893.50 "," 1,072.58 ", 548.17 , 350.83 , 554.67 , 139.50 , 181.50 , 554.67 , 139.50 , 181.50 
" 2,898.00 "," 1,074.25 ", 549.92 , 351.00 , 555.50 , 140.42 , 181.58 , 555.50 , 140.42 , 181.58 
" 2,902.50 "," 1,075.92 ", 551.75 , 351.08 , 556.33 , 141.25 , 181.67 , 556.33 , 141.25 , 181.67 
" 2,907.00 "," 1,077.58 ", 553.58 , 351.17 , 557.25 , 142.25 , 181.75 , 557.25 , 142.25 , 181.75 
" 2,911.50 "," 1,079.25 ", 555.42 , 351.33 , 558.08 , 143.25 , 181.75 , 558.08 , 143.25 , 181.75 
" 2,916.00 "," 1,080.92 ", 557.25 , 351.42 , 558.92 , 144.08 , 181.83 , 558.92 , 144.08 , 181.83 
" 2,920.50 "," 1,082.58 ", 559.00 , 351.58 , 559.83 , 145.08 , 181.92 , 559.83 , 145.08 , 181.92 
" 2,925.00 "," 1,084.25 ", 560.83 , 351.67 , 560.67 , 146.08 , 181.92 , 560.67 , 146.08 , 181.92 
" 2,929.50 "," 1,085.92 ", 562.67 , 351.83 , 561.58 , 147.00 , 182.00 , 561.58 , 147.00 , 182.00 
" 2,934.00 "," 1,087.58 ", 564.50 , 351.92 , 562.42 , 147.92 , 182.08 , 562.42 , 147.92 , 182.08 
" 2,938.50 "," 1,089.25 ", 566.33 , 352.00 , 563.25 , 148.83 , 182.17 , 563.25 , 148.83 , 182.17 
" 2,943.00 "," 1,090.92 ", 568.08 , 352.17 , 564.17 , 149.83 , 182.17 , 564.17 , 149.83 , 182.17 
" 2,947.50 "," 1,092.58 ", 570.00 , 352.25 , 565.00 , 150.75 , 182.25 , 565.00 , 150.75 , 182.25 
" 2,952.00 "," 1,094.25 ", 571.75 , 352.42 , 565.83 , 151.67 , 182.33 , 565.83 , 151.67 , 182.33 
" 2,956.50 "," 1,095.92 ", 573.58 , 352.50 , 566.75 , 152.58 , 182.42 , 566.75 , 152.58 , 182.42 
" 2,961.00 "," 1,097.58 ", 575.42 , 352.58 , 567.58 , 153.58 , 182.42 , 568.42 , 154.42 , 182.42 
" 2,965.50 "," 1,099.25 ", 577.25 , 352.75 , 568.42 , 154.50 , 182.50 , 570.08 , 156.17 , 182.50 
" 2,970.00 "," 1,100.92 ", 579.08 , 352.83 , 569.33 , 155.42 , 182.58 , 571.75 , 157.83 , 182.58 
" 2,974.50 "," 1,102.58 ", 580.83 , 353.00 , 570.17 , 156.42 , 182.58 , 573.42 , 159.67 , 182.58 
" 2,979.00 "," 1,104.25 ", 582.67 , 353.08 , 571.00 , 157.33 , 182.67 , 575.08 , 161.42 , 182.67 
" 2,983.50 "," 1,105.92 ", 584.58 , 353.17 , 571.92 , 158.25 , 182.75 , 576.75 , 163.08 , 182.75 
" 2,988.00 "," 1,107.58 ", 586.33 , 353.33 , 572.75 , 159.17 , 182.83 , 578.42 , 164.83 , 182.83 
" 2,992.50 "," 1,109.25 ", 588.17 , 353.42 , 573.58 , 160.17 , 182.83 , 580.08 , 166.67 , 182.83 
" 2,997.00 "," 1,110.92 ", 589.92 , 353.58 , 574.50 , 161.08 , 182.92 , 581.75 , 168.33 , 182.92 
" 3,001.50 "," 1,112.58 ", 591.83 , 353.67 , 575.33 , 162.00 , 183.00 , 583.42 , 170.08 , 183.00 
" 3,006.00 "," 1,114.25 ", 593.67 , 353.75 , 576.25 , 163.00 , 183.08 , 585.08 , 171.83 , 183.08 
" 3,010.50 "," 1,115.92 ", 595.42 , 353.92 , 577.08 , 163.92 , 183.08 , 586.75 , 173.58 , 183.08 
" 3,015.00 "," 1,117.58 ", 597.25 , 354.00 , 577.92 , 164.83 , 183.17 , 588.42 , 175.33 , 183.17 
" 3,019.50 "," 1,119.25 ", 599.08 , 354.17 , 578.83 , 165.83 , 183.25 , 590.08 , 177.08 , 183.25 
" 3,024.00 "," 1,120.92 ", 600.92 , 354.25 , 579.67 , 166.75 , 183.25 , 591.75 , 178.83 , 183.25 
" 3,028.50 "," 1,122.58 ", 602.67 , 354.42 , 580.50 , 167.67 , 183.33 , 593.42 , 180.58 , 183.33 
" 3,033.00 "," 1,124.25 ", 604.50 , 354.50 , 581.42 , 168.67 , 183.42 , 595.08 , 182.33 , 183.42 
" 3,037.50 "," 1,125.92 ", 606.42 , 354.58 , 582.83 , 170.17 , 183.50 , 596.75 , 184.08 , 183.50 
" 3,042.00 "," 1,127.58 ", 608.17 , 354.75 , 584.50 , 171.92 , 183.50 , 598.42 , 185.83 , 183.50 
" 3,046.50 "," 1,129.25 ", 610.00 , 354.83 , 586.17 , 173.67 , 183.58 , 600.08 , 187.58 , 183.58 
" 3,051.00 "," 1,130.92 ", 611.75 , 355.00 , 587.83 , 175.42 , 183.67 , 601.75 , 189.33 , 183.67 
" 3,055.50 "," 1,132.58 ", 613.75 , 355.00 , 589.50 , 177.17 , 183.67 , 603.42 , 191.08 , 183.67 
" 3,060.00 "," 1,134.25 ", 616.00 , 354.67 , 591.17 , 179.17 , 183.50 , 605.08 , 193.08 , 183.50 
" 3,064.50 "," 1,135.92 ", 618.17 , 354.42 , 592.83 , 181.08 , 183.42 , 606.75 , 195.00 , 183.42 
" 3,069.00 "," 1,137.58 ", 620.33 , 354.17 , 594.50 , 183.00 , 183.25 , 608.42 , 196.92 , 183.25 
" 3,073.50 "," 1,139.25 ", 622.50 , 353.92 , 596.17 , 185.00 , 183.08 , 610.08 , 198.92 , 183.08 
" 3,078.00 "," 1,140.92 ", 624.75 , 353.67 , 597.83 , 186.92 , 183.00 , 611.75 , 200.83 , 183.00 
" 3,082.50 "," 1,142.58 ", 626.92 , 353.42 , 599.50 , 188.83 , 182.83 , 613.42 , 202.75 , 182.83 
" 3,087.00 "," 1,144.25 ", 629.17 , 353.08 , 601.17 , 190.75 , 182.75 , 615.08 , 204.67 , 182.75 
" 3,091.50 "," 1,145.92 ", 631.33 , 352.83 , 602.83 , 192.75 , 182.58 , 616.75 , 206.67 , 182.58 
" 3,096.00 "," 1,147.58 ", 633.58 , 352.58 , 604.50 , 194.67 , 182.42 , 618.42 , 208.58 , 182.42 
" 3,100.50 "," 1,149.25 ", 635.75 , 352.33 , 606.17 , 196.58 , 182.33 , 620.08 , 210.50 , 182.33 
" 3,105.00 "," 1,150.92 ", 637.92 , 352.08 , 607.83 , 198.58 , 182.17 , 621.75 , 212.50 , 182.17 
" 3,109.50 "," 1,152.58 ", 640.08 , 351.83 , 609.50 , 200.50 , 182.00 , 623.42 , 214.42 , 182.00 
" 3,114.00 "," 1,154.25 ", 642.42 , 351.50 , 611.17 , 202.42 , 181.92 , 625.08 , 216.33 , 181.92 
" 3,118.50 "," 1,155.92 ", 644.58 , 351.25 , 612.83 , 204.42 , 181.75 , 626.75 , 218.33 , 181.75 
" 3,123.00 "," 1,157.58 ", 646.75 , 351.00 , 614.50 , 206.33 , 181.58 , 628.42 , 220.25 , 181.58 
" 3,127.50 "," 1,159.25 ", 648.92 , 350.75 , 616.17 , 208.25 , 181.50 , 630.08 , 222.17 , 181.50 
" 3,132.00 "," 1,160.92 ", 651.17 , 350.50 , 617.83 , 210.25 , 181.33 , 631.75 , 224.17 , 181.33 
" 3,136.50 "," 1,162.58 ", 653.33 , 350.25 , 619.50 , 212.08 , 181.25 , 633.42 , 226.00 , 181.25 
" 3,141.00 "," 1,164.25 ", 655.58 , 349.92 , 621.17 , 214.08 , 181.08 , 635.08 , 228.00 , 181.08 
" 3,145.50 "," 1,165.92 ", 657.75 , 349.67 , 622.83 , 216.08 , 180.92 , 636.75 , 230.00 , 180.92 
" 3,150.00 "," 1,167.58 ", 660.00 , 349.42 , 624.50 , 217.92 , 180.83 , 638.42 , 231.83 , 180.83 
" 3,154.50 "," 1,169.33 ", 662.25 , 349.17 , 626.17 , 219.92 , 180.67 , 640.17 , 233.92 , 180.67 
" 3,159.00 "," 1,171.00 ", 664.42 , 348.92 , 627.83 , 221.92 , 180.50 , 641.83 , 235.92 , 180.50 
" 3,163.50 "," 1,172.67 ", 666.58 , 348.67 , 629.50 , 223.75 , 180.42 , 643.50 , 237.75 , 180.42 
" 3,168.00 "," 1,174.33 ", 668.92 , 348.33 , 631.17 , 225.75 , 180.25 , 645.17 , 239.75 , 180.25 
" 3,172.50 "," 1,176.00 ", 671.08 , 348.08 , 632.83 , 227.75 , 180.08 , 646.83 , 241.75 , 180.08 
" 3,177.00 "," 1,177.67 ", 673.25 , 347.83 , 634.50 , 229.67 , 180.00 , 648.50 , 243.67 , 180.00 
" 3,181.50 "," 1,179.33 ", 675.42 , 347.58 , 636.17 , 231.58 , 179.83 , 650.17 , 245.58 , 179.83 
" 3,186.00 "," 1,181.00 ", 677.67 , 347.33 , 637.83 , 233.50 , 179.75 , 651.83 , 247.50 , 179.75 
" 3,190.50 "," 1,182.67 ", 679.83 , 347.08 , 639.50 , 235.50 , 179.58 , 653.50 , 249.50 , 179.58 
" 3,195.00 "," 1,184.33 ", 682.08 , 346.75 , 641.17 , 237.42 , 179.42 , 655.17 , 251.42 , 179.42 
" 3,199.50 "," 1,186.00 ", 684.25 , 346.50 , 642.83 , 239.33 , 179.33 , 656.83 , 253.33 , 179.33 
" 3,204.00 "," 1,187.67 ", 686.50 , 346.25 , 644.50 , 241.33 , 179.17 , 658.50 , 255.33 , 179.17 
" 3,208.50 "," 1,189.33 ", 688.67 , 346.00 , 646.17 , 243.67 , 179.00 , 660.17 , 257.67 , 179.00 
" 3,213.00 "," 1,191.00 ", 690.83 , 345.75 , 647.83 , 246.25 , 178.92 , 661.83 , 260.25 , 178.92 
" 3,217.50 "," 1,192.67 ", 693.00 , 345.50 , 649.50 , 248.92 , 178.75 , 663.50 , 262.92 , 178.75 
" 3,222.00 "," 1,194.33 ", 695.33 , 345.17 , 651.17 , 251.58 , 178.58 , 665.17 , 265.58 , 178.58 
" 3,226.50 "," 1,196.00 ", 697.50 , 344.92 , 652.83 , 254.17 , 178.50 , 666.83 , 268.17 , 178.50 
" 3,231.00 "," 1,197.67 ", 699.67 , 344.67 , 654.50 , 256.83 , 178.33 , 668.50 , 270.83 , 178.33 
" 3,235.50 "," 1,199.33 ", 701.83 , 344.42 , 656.17 , 259.33 , 178.25 , 670.17 , 273.33 , 178.25 
" 3,240.00 "," 1,201.00 ", 704.08 , 344.17 , 657.83 , 262.00 , 178.08 , 671.83 , 276.00 , 178.08 
" 3,244.50 "," 1,202.67 ", 706.25 , 343.92 , 659.58 , 264.75 , 177.92 , 673.50 , 278.67 , 177.92 
" 3,249.00 "," 1,204.33 ", 708.50 , 343.58 , 661.25 , 267.25 , 177.83 , 675.17 , 281.17 , 177.83 
" 3,253.50 "," 1,206.00 ", 710.67 , 343.33 , 662.92 , 269.92 , 177.67 , 676.83 , 283.83 , 177.67 
" 3,258.00 "," 1,207.67 ", 712.83 , 343.08 , 664.58 , 272.58 , 177.50 , 678.50 , 286.50 , 177.50 
" 3,262.50 "," 1,209.33 ", 715.08 , 342.83 , 666.25 , 275.08 , 177.42 , 680.17 , 289.00 , 177.42 
" 3,267.00 "," 1,211.00 ", 717.25 , 342.58 , 667.92 , 277.83 , 177.25 , 681.83 , 291.75 , 177.25 
" 3,271.50 "," 1,212.67 ", 719.42 , 342.33 , 669.58 , 280.50 , 177.08 , 683.50 , 294.42 , 177.08 
" 3,276.00 "," 1,214.33 ", 721.67 , 342.00 , 671.25 , 283.00 , 177.00 , 685.17 , 296.92 , 177.00 
" 3,280.50 "," 1,216.00 ", 723.92 , 341.75 , 672.92 , 285.67 , 176.83 , 686.83 , 299.58 , 176.83 
" 3,285.00 "," 1,217.67 ", 726.08 , 341.50 , 674.58 , 288.25 , 176.75 , 688.50 , 302.17 , 176.75 
" 3,289.50 "," 1,219.33 ", 728.25 , 341.25 , 676.25 , 290.83 , 176.58 , 690.17 , 304.75 , 176.58 
" 3,294.00 "," 1,221.00 ", 730.42 , 341.00 , 677.92 , 293.50 , 176.42 , 691.83 , 307.42 , 176.42 
" 3,298.50 "," 1,222.67 ", 732.67 , 340.75 , 679.58 , 296.08 , 176.33 , 693.50 , 310.00 , 176.33 
" 3,303.00 "," 1,224.33 ", 734.92 , 340.42 , 681.25 , 298.67 , 176.17 , 695.17 , 312.58 , 176.17 
" 3,307.50 "," 1,226.00 ", 737.08 , 340.17 , 682.92 , 301.33 , 176.00 , 696.83 , 315.25 , 176.00 
" 3,312.00 "," 1,227.67 ", 739.25 , 339.92 , 684.58 , 304.00 , 175.92 , 698.50 , 317.92 , 175.92 
" 3,316.50 "," 1,229.33 ", 741.50 , 339.67 , 686.25 , 306.67 , 175.75 , 700.17 , 320.58 , 175.75 
" 3,321.00 "," 1,231.00 ", 743.67 , 339.42 , 687.92 , 309.25 , 175.58 , 701.83 , 323.17 , 175.58 
" 3,325.50 "," 1,232.67 ", 745.83 , 339.17 , 689.58 , 311.83 , 175.50 , 703.50 , 325.75 , 175.50 
" 3,330.00 "," 1,234.33 ", 748.08 , 338.83 , 691.25 , 314.50 , 175.33 , 705.17 , 328.42 , 175.33 
" 3,334.50 "," 1,236.00 ", 750.33 , 338.58 , 692.92 , 317.00 , 175.25 , 706.83 , 330.92 , 175.25 
" 3,339.00 "," 1,237.67 ", 752.50 , 338.33 , 694.58 , 319.67 , 175.08 , 708.50 , 333.58 , 175.08 
" 3,343.50 "," 1,239.33 ", 754.67 , 338.08 , 696.25 , 322.33 , 174.92 , 710.17 , 336.25 , 174.92 
" 3,348.00 "," 1,241.00 ", 756.83 , 337.83 , 697.92 , 324.83 , 174.83 , 711.83 , 338.75 , 174.83 
" 3,352.50 "," 1,242.67 ", 759.08 , 337.58 , 699.58 , 327.50 , 174.67 , 713.50 , 341.42 , 174.67 
" 3,357.00 "," 1,244.33 ", 761.33 , 337.25 , 701.25 , 330.25 , 174.50 , 715.17 , 344.17 , 174.50 
" 3,361.50 "," 1,246.00 ", 763.50 , 337.00 , 702.92 , 332.75 , 174.42 , 716.83 , 346.67 , 174.42 
" 3,366.00 "," 1,247.67 ", 765.67 , 336.75 , 704.58 , 335.42 , 174.25 , 718.50 , 349.33 , 174.25 
" 3,370.50 "," 1,249.33 ", 767.92 , 336.50 , 706.25 , 338.08 , 174.08 , 720.17 , 352.00 , 174.08 
" 3,375.00 "," 1,251.00 ", 770.08 , 336.25 , 707.92 , 340.58 , 174.00 , 721.83 , 354.50 , 174.00 
" 3,379.50 "," 1,252.67 ", 772.25 , 336.00 , 709.58 , 343.25 , 173.83 , 723.50 , 357.17 , 173.83 
" 3,384.00 "," 1,254.33 ", 774.42 , 335.75 , 711.25 , 345.83 , 173.75 , 725.17 , 359.75 , 173.75 
" 3,388.50 "," 1,256.00 ", 776.75 , 335.42 , 712.92 , 348.42 , 173.58 , 726.83 , 362.33 , 173.58 
" 3,393.00 "," 1,257.67 ", 778.92 , 335.17 , 714.58 , 351.08 , 173.42 , 728.50 , 365.00 , 173.42 
" 3,397.50 "," 1,259.33 ", 781.08 , 334.92 , 716.25 , 353.67 , 173.33 , 730.17 , 367.58 , 173.33 
" 3,402.00 "," 1,261.00 ", 783.25 , 334.67 , 717.92 , 356.33 , 173.17 , 731.83 , 370.25 , 173.17 
" 3,406.50 "," 1,262.75 ", 785.58 , 334.42 , 719.58 , 359.00 , 173.00 , 733.58 , 373.00 , 173.00 
" 3,411.00 "," 1,264.42 ", 787.75 , 334.17 , 721.25 , 361.58 , 172.92 , 735.25 , 375.58 , 172.92 
" 3,415.50 "," 1,266.08 ", 790.00 , 333.83 , 722.92 , 364.17 , 172.75 , 736.92 , 378.17 , 172.75 
" 3,420.00 "," 1,267.75 ", 792.17 , 333.58 , 724.58 , 366.83 , 172.58 , 738.58 , 380.83 , 172.58 
" 3,424.50 "," 1,269.42 ", 794.42 , 333.33 , 726.25 , 369.42 , 172.50 , 740.25 , 383.42 , 172.50 
" 3,429.00 "," 1,271.08 ", 796.58 , 333.08 , 727.92 , 372.00 , 172.33 , 741.92 , 386.00 , 172.33 
" 3,433.50 "," 1,272.75 ", 798.75 , 332.83 , 729.58 , 374.58 , 172.25 , 743.58 , 388.58 , 172.25 
" 3,438.00 "," 1,274.42 ", 800.92 , 332.58 , 731.25 , 377.25 , 172.08 , 745.25 , 391.25 , 172.08 
" 3,442.50 "," 1,276.08 ", 803.17 , 332.25 , 732.92 , 379.83 , 171.92 , 746.92 , 393.83 , 171.92 
" 3,447.00 "," 1,277.75 ", 805.42 , 332.00 , 734.58 , 382.50 , 171.83 , 748.58 , 396.50 , 171.83 
" 3,451.50 "," 1,279.42 ", 807.58 , 331.75 , 736.25 , 385.17 , 171.67 , 750.25 , 399.17 , 171.67 
" 3,456.00 "," 1,281.08 ", 809.75 , 331.50 , 737.92 , 387.83 , 171.50 , 751.92 , 401.83 , 171.50 
" 3,460.50 "," 1,282.75 ", 811.92 , 331.25 , 739.58 , 390.33 , 171.42 , 753.58 , 404.33 , 171.42 
" 3,465.00 "," 1,284.42 ", 814.17 , 331.00 , 741.25 , 393.00 , 171.25 , 755.25 , 407.00 , 171.25 
" 3,469.50 "," 1,286.08 ", 816.42 , 330.67 , 742.92 , 395.67 , 171.08 , 756.92 , 409.67 , 171.08 
" 3,474.00 "," 1,287.75 ", 818.58 , 330.42 , 744.58 , 398.17 , 171.00 , 758.58 , 412.17 , 171.00 
